# 
# Header Description:
# 
# Version: v3.0.6.1 Platform: 11 Manufacturer: Realme Model: RMX1851
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
Status,1682241286000,34,4,1,24,1575420030,16.10,232.0,23.0,1,1,0,16.1
Status,1682241286000,34,5,1,6,1575420030,0.00,35.0,13.0,0,1,0,0.0
Status,1682241286000,34,6,1,13,1575420030,0.00,165.0,10.0,0,1,0,0.0
Status,1682241286000,34,7,1,19,1575420030,0.00,74.0,21.0,0,1,0,0.0
Status,1682241286000,34,8,1,25,1575420030,0.00,322.0,20.0,0,1,0,0.0
Status,1682241286000,34,9,3,9,1602000000,20.20,312.0,30.0,1,1,0,20.2
Status,1682241286000,34,10,3,16,1602000000,21.20,232.0,59.0,1,1,0,21.2
Status,1682241286000,34,11,3,15,1602000000,12.00,172.0,22.0,0,1,0,12.0
Status,1682241286000,34,12,3,18,1602000000,0.00,26.0,15.0,0,1,0,0.0
Status,1682241286000,34,13,3,19,1602000000,0.00,340.0,26.0,0,1,0,0.0
Status,1682241286000,34,14,3,3,1602000000,0.00,66.0,22.0,0,1,0,0.0
Status,1682241286000,34,15,3,4,1602000000,0.00,122.0,33.0,0,1,0,0.0
Status,1682241286000,34,16,5,8,1561097980,16.80,12.0,58.0,0,1,0,16.8
Status,1682241286000,34,17,5,13,1561097980,16.60,0.0,0.0,1,1,0,16.6
Status,1682241286000,34,18,5,19,1561097980,14.80,170.0,33.0,0,1,0,14.8
Status,1682241286000,34,19,5,1,1561097980,0.00,94.0,16.0,0,1,0,0.0
Status,1682241286000,34,20,5,2,1561097980,0.00,163.0,73.0,0,1,0,0.0
Status,1682241286000,34,21,5,3,1561097980,0.00,109.0,52.0,0,1,0,0.0
Status,1682241286000,34,22,5,5,1561097980,0.00,239.0,60.0,0,1,0,0.0
Status,1682241286000,34,23,5,7,1561097980,0.00,99.0,53.0,0,1,0,0.0
Status,1682241286000,34,24,5,10,1561097980,0.00,78.0,64.0,0,1,0,0.0
Status,1682241286000,34,25,5,20,1561097980,0.00,102.0,45.0,0,1,0,0.0
Status,1682241286000,34,26,5,29,1561097980,0.00,345.0,36.0,0,1,0,0.0
Status,1682241286000,34,27,5,30,1561097980,0.00,49.0,23.0,0,1,0,0.0
Status,1682241286000,34,28,6,21,1575420030,12.50,309.0,67.0,1,1,0,12.5
Status,1682241286000,34,29,6,26,1575420030,15.90,293.0,41.0,1,1,0,15.9
Status,1682241286000,34,30,6,1,1575420030,0.00,322.0,18.0,0,1,0,0.0
Status,1682241286000,34,31,6,7,1575420030,0.00,146.0,20.0,0,1,0,0.0
Status,1682241286000,34,32,6,13,1575420030,0.00,8.0,36.0,0,1,0,0.0
Status,1682241286000,34,33,6,27,1575420030,0.00,153.0,53.0,0,1,0,0.0
Fix,GPS,12.9859923400,80.2373229500,-57.77301025390625,0.0,14.95703,,1682241287000,0.34014702,,47150376769222,6.0
Raw,1682241286433,47175400000000,18,,-1366229329033206559,-0.702754020690918,110.41738616768271,10.634703992667111,19.194985329453882,9,16,0.0,49359,44086367159160,40,21.2,318.5711669921875,1.056999921798706,16,0.0,0.0,1601437440,,,,0,,3,6.24,18.2,,,,,,47149806311705
Raw,1682241286433,47175400000000,18,,-1366229329033206559,-0.702754020690918,110.41738616768271,10.634703992667111,19.194985329453882,9,12,0.0,81935,33304362888667,31,23.8,-359.988037109375,0.6694999933242798,16,0.0,0.0,1575420030,,,,0,,1,8.07,20.3,,,,,,47149806311705
Status,1682241287000,33,0,1,5,1575420030,18.70,184.0,62.0,1,1,0,18.7
Status,1682241287000,33,1,1,11,1575420030,15.20,1.0,43.0,1,1,0,15.2
Status,1682241287000,33,2,1,12,1575420030,25.10,324.0,53.0,1,1,0,25.1
Status,1682241287000,33,3,1,20,1575420030,10.50,73.0,79.0,0,1,0,10.5
Status,1682241287000,33,4,1,24,1575420030,16.10,232.0,23.0,1,1,0,16.1
Status,1682241287000,33,5,1,6,1575420030,0.00,35.0,13.0,0,1,0,0.0
Status,1682241287000,33,6,1,13,1575420030,0.00,165.0,10.0,0,1,0,0.0
Status,1682241287000,33,7,1,19,1575420030,0.00,74.0,21.0,0,1,0,0.0
Status,1682241287000,33,8,1,25,1575420030,0.00,322.0,20.0,0,1,0,0.0
Status,1682241287000,33,9,3,9,1602000000,20.20,312.0,30.0,1,1,0,20.2
Status,1682241287000,33,10,3,16,1602000000,21.90,232.0,59.0,1,1,0,21.9
Status,1682241287000,33,11,3,18,1602000000,0.00,26.0,15.0,0,1,0,0.0
Status,1682241287000,33,12,3,19,1602000000,0.00,340.0,26.0,0,1,0,0.0
Status,1682241287000,33,13,3,3,1602000000,0.00,66.0,22.0,0,1,0,0.0
Status,1682241287000,33,14,3,4,1602000000,0.00,122.0,33.0,0,1,0,0.0
Status,1682241287000,33,15,5,8,1561097980,16.80,12.0,58.0,0,1,0,16.8
Status,1682241287000,33,16,5,13,1561097980,16.50,0.0,0.0,1,1,0,16.5
Status,1682241287000,33,17,5,19,1561097980,14.80,170.0,33.0,0,1,0,14.8
Status,1682241287000,33,18,5,1,1561097980,0.00,94.0,16.0,0,1,0,0.0
Status,1682241287000,33,19,5,2,1561097980,0.00,163.0,73.0,0,1,0,0.0
Status,1682241287000,33,20,5,3,1561097980,0.00,109.0,52.0,0,1,0,0.0
Status,1682241287000,33,21,5,5,1561097980,0.00,239.0,60.0,0,1,0,0.0
Status,1682241287000,33,22,5,7,1561097980,0.00,99.0,53.0,0,1,0,0.0
Status,1682241287000,33,23,5,10,1561097980,0.00,78.0,64.0,0,1,0,0.0
Status,1682241287000,33,24,5,20,1561097980,0.00,102.0,45.0,0,1,0,0.0
Status,1682241287000,33,25,5,29,1561097980,0.00,345.0,36.0,0,1,0,0.0
Status,1682241287000,33,26,5,30,1561097980,0.00,49.0,23.0,0,1,0,0.0
Status,1682241287000,33,27,6,21,1575420030,15.00,309.0,67.0,1,1,0,15.0
Status,1682241287000,33,28,6,26,1575420030,15.90,293.0,41.0,0,1,0,15.9
Status,1682241287000,33,29,6,1,1575420030,0.00,322.0,18.0,0,1,0,0.0
Status,1682241287000,33,30,6,7,1575420030,0.00,146.0,20.0,0,1,0,0.0
Status,1682241287000,33,31,6,13,1575420030,0.00,8.0,36.0,0,1,0,0.0
Status,1682241287000,33,32,6,27,1575420030,0.00,153.0,53.0,0,1,0,0.0
Fix,GPS,12.9859923100,80.2373229700,-57.773590087890625,0.0,15.269426,,1682241288000,0.34928498,,47151376769222,6.0
Raw,1682241287433,47176400000000,18,,-1366229329033206546,-0.9324588775634766,114.03801181586459,9.665915269513022,18.3750751790341,9,16,0.0,49359,44087367158204,40,21.9,320.1530456542969,1.056999921798706,16,0.0,0.0,1601437440,,,,0,,3,6.87,18.9,,,,,,47150806311692
Raw,1682241287433,47176400000000,18,,-1366229329033206546,-0.9324588775634766,114.03801181586459,9.665915269513022,18.3750751790341,9,12,0.0,81935,33305362889860,24,25.1,-357.89202880859375,0.384799987077713,16,0.0,0.0,1575420030,,,,0,,1,8.41,21.6,,,,,,47150806311692
Raw,1682241287433,47176400000000,18,,-1366229329033206546,-0.9324588775634766,114.03801181586459,9.665915269513022,18.3750751790341,9,13,0.0,16399,33291312380232,89,16.5,129.63626098632812,2.514500141143799,16,0.0,0.0,1561097980,,,,0,,5,7.81,10.5,,,,,,47150806311692
Raw,1682241287433,47176400000000,18,,-1366229329033206546,-0.9324588775634766,114.03801181586459,9.665915269513022,18.3750751790341,9,21,0.0,89103,33305353940924,110,15.0,-154.68972778320312,3.3519999980926514,16,0.0,0.0,1575420030,,,,0,,6,8.41,9.0,,,,,,47150806311692
Status,1682241288000,34,0,1,5,1575420030,18.70,184.0,62.0,0,1,0,18.7
Status,1682241288000,34,1,1,11,1575420030,15.20,1.0,43.0,1,1,0,15.2
Status,1682241288000,34,2,1,12,1575420030,22.80,324.0,53.0,1,1,0,22.8
Status,1682241288000,34,3,1,20,1575420030,10.50,73.0,79.0,0,1,0,10.5
